	Floricourt_Dorat (Liaisons_Laclos)	Boudoir_Sade	Aline_Sade	Monde_Prevost	Fataliste_Diderot	Fils_Diderot	Religieuse_Diderot	Supplement_Diderot	Moraux_Marmontel	Emile_Rousseau	Julie_Rousseau	Adele_Genlis	Amours_Couvray	Belisaire_Marmontel	Incas_Marmontel	L'An_Mercier	Fanni_Riccoboni	Moraux_Mercier	Vertueuse_Retif	Fanchette_Retif	Perverti_Retif	Pervertie_Retif	Caliste_Charriere	Micromegas_Voltaire	Candide_Voltaire	Diable_Cazotte	Contemporaines_Retif	Françaises_Retif	Parisiennes_Retif	Nuit_Crebillon	Femme_Marmontel	Saisons_Saint-Lambert	Chaumiere_Bernardin	L'Emigre_Meilhan	Coelina_Pixerecourt	Voyage_Maistre	Chevaliers_Genlis	Pauliska_Saint-Cyr	Victor_Ducray-Duminil	Adele_Souza	Claire_Cottin	Justine_Sade	Juliette_Sade	Prince_Gouges	Crimes_Sade	L'Anti-Justine_Retif	L'Ingenu_Voltaire	Ecus_Voltaire	Jenni_Voltaire	Nuits_Retif	Vie_Retif	Menage_Retif	Emilie_Couvray	Naufrage_Morelly	Princesse_Voltaire	Rideau_Mirabeau	Galatee_Florian	Lucile_Retif
Chaumiere_Bernardin (Q1079)	0	4	1	1	0	1	2	1	5	4	2	2	1	1	2	2	3	1	1	1	1	3	1	3	1	1	2	1	1	1	1	1	2	0	3	3	1	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L'Emigre_Meilhan (Q1090)	0	14	4	5	0	4	6	3	16	12	9	13	3	4	9	7	10	4	3	3	3	12	4	10	4	6	7	3	3	3	3	3	6	3	0	9	5	4	4	4	4	4	13	5	3	3	2	0	0	0	0	0	0	1	0	0	0	0	0
Coelina_Pixerecourt (Q2744)	0	12	3	3	0	3	6	3	15	12	6	6	3	3	6	6	9	3	3	3	3	9	3	9	3	3	6	3	3	3	3	3	6	3	9	0	3	3	3	3	3	3	6	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Voyage_Maistre (Q1083)	0	5	2	3	0	1	2	1	5	4	2	6	1	2	4	2	4	1	1	1	1	6	2	3	2	3	2	1	1	1	1	1	2	1	5	3	0	1	1	1	1	1	7	3	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
Chevaliers_Genlis (Q1084)	0	5	1	1	0	2	2	1	6	4	4	4	1	1	3	3	3	2	1	1	1	3	1	4	1	2	3	1	1	1	1	1	2	1	4	3	1	0	2	2	2	2	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Pauliska_Saint-Cyr (Q1094)	0	5	1	1	0	2	2	1	6	4	4	4	1	1	3	3	3	2	1	1	1	3	1	4	1	2	3	1	1	1	1	1	2	1	4	3	1	2	0	2	2	2	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Victor_Ducray-Duminil (Q2567)	0	5	1	1	0	2	2	1	6	4	4	4	1	1	3	3	3	2	1	1	1	3	1	4	1	2	3	1	1	1	1	1	2	1	4	3	1	2	2	0	2	2	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Adele_Souza (Q1082)	0	5	1	1	0	2	2	1	6	4	4	4	1	1	3	3	3	2	1	1	1	3	1	4	1	2	3	1	1	1	1	1	2	1	4	3	1	2	2	2	0	2	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Claire_Cottin (Q1099)	0	5	1	1	0	2	2	1	6	4	4	4	1	1	3	3	3	2	1	1	1	3	1	4	1	2	3	1	1	1	1	1	2	1	4	3	1	2	2	2	2	0	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Justine_Sade (Q1078)	0	15	3	7	0	4	5	2	12	8	8	21	2	6	14	6	10	4	2	2	2	18	6	8	6	11	6	2	2	2	2	2	4	2	13	6	7	4	4	4	4	4	0	7	2	2	6	0	0	0	0	0	0	4	0	0	0	0	12
